radius:12.0
size:70^25
path:data/templates/BayArea.txt
+data:
264.54293628808864,3,39,59	135.73407202216066,3,40,60	81.71745152354572,3,40,60	119.11357340720222,3,40,60	59.55678670360111,3,40,60	4.1551246537396125,3,40,60	16.62049861495845,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
178.67036011080333,3,39,60	88.6426592797784,3,40,60	204.98614958448755,3,39,60	42.93628808864266,3,40,60	11.0803324099723,3,40,60	63.711911357340725,3,40,60	2.770083102493075,3,40,60	66.4819944598338,3,40,60	5.54016620498615,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
173.13019390581718,3,39,60	177.2853185595568,3,39,60	62.32686980609419,3,40,60	121.8836565096953,3,40,60	13.850415512465375,3,40,60	47.091412742382275,3,40,60	1.3850415512465375,3,40,60	116.34349030470915,3,40,60	101.10803324099723,3,40,60	34.62603878116344,3,40,60	52.631578947368425,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	26.315789473684212,3,40,60	15.235457063711912,3,40,60	0.0,3,40,60	0.0,3,40,60	27.70083102493075,3,40,60	48.47645429362881,3,40,60
126.03878116343492,3,40,60	192.52077562326872,3,39,60	54.01662049861496,3,40,60	239.61218836565098,3,39,59	38.78116343490305,3,40,60	8.310249307479225,3,40,60	24.930747922437675,3,40,60	360.1108033240997,3,38,59	403.0470914127424,3,38,59	173.13019390581718,3,39,60	29.085872576177287,3,40,60	19.390581717451525,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	1.3850415512465375,3,40,60	26.315789473684212,3,40,60	13.850415512465375,3,40,60	38.78116343490305,3,40,60	38.78116343490305,3,40,60	103.87811634349032,3,40,60
216.06648199445985,3,39,59	58.171745152354575,3,40,60	41.551246537396125,3,40,60	58.171745152354575,3,40,60	164.81994459833797,3,39,60	117.72853185595568,3,40,60	83.10249307479225,3,40,60	120.49861495844877,3,40,60	390.58171745152356,3,38,59	44.3213296398892,3,40,60	77.5623268698061,3,40,60	33.2409972299169,3,40,60	16.62049861495845,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	55.4016620498615,3,40,60	54.01662049861496,3,40,60	42.93628808864266,3,40,60	95.56786703601108,3,40,60	103.87811634349032,3,40,60
191.13573407202216,3,39,60	124.65373961218837,3,40,60	36.011080332409975,3,40,60	45.70637119113574,3,40,60	95.56786703601108,3,40,60	85.87257617728532,3,40,60	131.57894736842107,3,40,60	40.16620498614959,3,40,60	92.79778393351802,3,40,60	67.86703601108033,3,40,60	1.3850415512465375,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.770083102493075,3,40,60	19.390581717451525,3,40,60	98.33795013850417,3,40,60	87.25761772853187,3,40,60	87.25761772853187,3,40,60	144.0443213296399,3,39,60
155.1246537396122,3,39,60	103.87811634349032,3,40,60	193.90581717451525,3,39,60	19.390581717451525,3,40,60	160.66481994459835,3,39,60	80.33240997229917,3,40,60	4.1551246537396125,3,40,60	4.1551246537396125,3,40,60	18.005540166204987,3,40,60	41.551246537396125,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	-1.3850415512465375,3,40,60	4.1551246537396125,3,40,60	12.465373961218837,3,40,60	45.70637119113574,3,40,60	80.33240997229917,3,40,60	105.26315789473685,3,40,60	88.6426592797784,3,40,60
285.31855955678674,3,38,59	173.13019390581718,3,39,60	264.54293628808864,3,39,59	83.10249307479225,3,40,60	65.09695290858727,3,40,60	128.80886426592798,3,40,60	12.465373961218837,3,40,60	2.770083102493075,3,40,60	2.770083102493075,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	51.24653739612189,3,40,60	4.1551246537396125,3,40,60	0.0,3,40,60	11.0803324099723,3,40,60	1.3850415512465375,3,40,60	9.695290858725762,3,40,60	20.775623268698062,3,40,60	23.545706371191137,3,40,60	40.16620498614959,3,40,60	41.551246537396125,3,40,60	66.4819944598338,3,40,60
339.3351800554017,3,38,59	227.14681440443215,3,39,59	123.26869806094183,3,40,60	186.98060941828257,3,39,60	9.695290858725762,3,40,60	38.78116343490305,3,40,60	145.42936288088643,3,39,60	19.390581717451525,3,40,60	2.770083102493075,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	31.855955678670362,3,40,60	0.0,3,40,60	2.770083102493075,3,40,60	-1.3850415512465375,3,40,60	8.310249307479225,3,40,60	16.62049861495845,3,40,60	34.62603878116344,3,40,60	130.19390581717454,3,40,60	252.07756232686984,3,39,59	173.13019390581718,3,39,60
324.09972299168976,3,38,59	487.5346260387812,3,37,58	263.15789473684214,3,39,59	56.78670360110804,3,40,60	15.235457063711912,3,40,60	2.770083102493075,3,40,60	11.0803324099723,3,40,60	58.171745152354575,3,40,60	72.02216066481995,3,40,60	5.54016620498615,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	95.56786703601108,3,40,60	13.850415512465375,3,40,60	-1.3850415512465375,3,40,60	-1.3850415512465375,3,40,60	11.0803324099723,3,40,60	20.775623268698062,3,40,60	33.2409972299169,3,40,60	45.70637119113574,3,40,60	94.18282548476455,3,40,60	211.91135734072023,3,39,59
