radius:12.0
size:50^50
path:/Users/arthurconner/code/HowGen/pompeii.txt
+data:
178.0,3,39,59	199.0,3,39,59	206.0,3,38,59	243.0,3,38,59	261.0,3,38,59	297.0,3,38,59	331.0,3,37,58	363.0,3,37,58	504.0,4,35,57	534.0,4,35,57	609.0,4,34,56	686.0,4,34,56	785.0,4,33,55	855.0,4,32,55	956.0,4,31,54	1070.0,5,30,53	1020.0,5,30,54	906.0,4,31,54	977.0,4,31,54	1036.0,5,30,54	993.0,4,31,54	1008.0,5,30,54	924.0,4,31,54	878.0,4,32,55	732.0,4,33,56	673.0,4,34,56	580.0,4,35,57	505.0,4,35,57	438.0,3,36,58	369.0,3,37,58	329.0,3,37,58	280.0,3,38,59	263.0,3,38,59	222.0,3,38,59	202.0,3,38,59	172.0,3,39,59	153.0,3,39,59	145.0,3,39,60	131.0,3,39,60	124.0,3,39,60	118.0,3,39,60	108.0,3,39,60	98.0,3,40,60	95.0,3,40,60	89.0,3,40,60	71.0,3,40,60	65.0,3,40,60	58.0,3,40,60	55.0,3,40,60	51.0,3,40,60
183.0,3,39,59	194.0,3,39,59	210.0,3,38,59	251.0,3,38,59	255.0,3,38,59	324.0,3,37,58	370.0,3,37,58	443.0,3,36,58	527.0,4,35,57	559.0,4,35,57	646.0,4,34,56	667.0,4,34,56	747.0,4,33,56	787.0,4,33,55	798.0,4,33,55	841.0,4,32,55	862.0,4,32,55	898.0,4,32,55	889.0,4,32,55	881.0,4,32,55	877.0,4,32,55	915.0,4,31,54	1021.0,5,30,54	948.0,4,31,54	756.0,4,33,55	679.0,4,34,56	565.0,4,35,57	531.0,4,35,57	441.0,3,36,58	378.0,3,37,58	330.0,3,37,58	261.0,3,38,59	249.0,3,38,59	215.0,3,38,59	201.0,3,38,59	178.0,3,39,59	158.0,3,39,59	148.0,3,39,60	135.0,3,39,60	125.0,3,39,60	112.0,3,39,60	107.0,3,39,60	95.0,3,40,60	88.0,3,40,60	81.0,3,40,60	69.0,3,40,60	65.0,3,40,60	59.0,3,40,60	56.0,3,40,60	49.0,3,40,60
191.0,3,39,59	209.0,3,38,59	225.0,3,38,59	244.0,3,38,59	257.0,3,38,59	308.0,3,37,58	443.0,3,36,58	513.0,4,35,57	558.0,4,35,57	584.0,4,35,57	632.0,4,34,56	669.0,4,34,56	798.0,4,33,55	825.0,4,32,55	817.0,4,32,55	864.0,4,32,55	890.0,4,32,55	954.0,4,31,54	947.0,4,31,54	906.0,4,31,54	888.0,4,32,55	877.0,4,32,55	932.0,4,31,54	943.0,4,31,54	774.0,4,33,55	685.0,4,34,56	567.0,4,35,57	511.0,4,35,57	426.0,3,36,58	347.0,3,37,58	319.0,3,37,58	290.0,3,38,59	256.0,3,38,59	212.0,3,38,59	202.0,3,38,59	172.0,3,39,59	157.0,3,39,59	149.0,3,39,60	133.0,3,39,60	125.0,3,39,60	112.0,3,39,60	107.0,3,39,60	95.0,3,40,60	88.0,3,40,60	83.0,3,40,60	71.0,3,40,60	67.0,3,40,60	59.0,3,40,60	55.0,3,40,60	49.0,3,40,60
192.0,3,39,59	207.0,3,38,59	222.0,3,38,59	251.0,3,38,59	272.0,3,38,59	332.0,3,37,58	456.0,3,36,57	525.0,4,35,57	604.0,4,34,56	605.0,4,34,56	658.0,4,34,56	713.0,4,33,56	840.0,4,32,55	880.0,4,32,55	836.0,4,32,55	889.0,4,32,55	934.0,4,31,54	1011.0,5,30,54	1017.0,5,30,54	937.0,4,31,54	909.0,4,31,54	883.0,4,32,55	856.0,4,32,55	893.0,4,32,55	775.0,4,33,55	699.0,4,34,56	581.0,4,35,57	539.0,4,35,57	441.0,3,36,58	344.0,3,37,58	309.0,3,37,58	267.0,3,38,59	250.0,3,38,59	221.0,3,38,59	201.0,3,38,59	177.0,3,39,59	157.0,3,39,59	147.0,3,39,60	129.0,3,39,60	124.0,3,39,60	110.0,3,39,60	105.0,3,39,60	92.0,3,40,60	89.0,3,40,60	79.0,3,40,60	69.0,3,40,60	67.0,3,40,60	58.0,3,40,60	55.0,3,40,60	49.0,3,40,60
198.0,3,39,59	219.0,3,38,59	229.0,3,38,59	272.0,3,38,59	294.0,3,38,59	337.0,3,37,58	446.0,3,36,58	515.0,4,35,57	558.0,4,35,57	586.0,4,35,57	649.0,4,34,56	703.0,4,33,56	819.0,4,32,55	844.0,4,32,55	852.0,4,32,55	937.0,4,31,54	1021.0,5,30,54	1120.0,5,29,53	1123.0,5,29,53	1017.0,5,30,54	956.0,4,31,54	901.0,4,31,54	863.0,4,32,55	831.0,4,32,55	811.0,4,32,55	719.0,4,33,56	556.0,4,35,57	483.0,3,36,57	411.0,3,36,58	339.0,3,37,58	301.0,3,37,58	271.0,3,38,59	251.0,3,38,59	223.0,3,38,59	205.0,3,38,59	178.0,3,39,59	160.0,3,39,59	153.0,3,39,59	129.0,3,39,60	122.0,3,39,60	108.0,3,39,60	106.0,3,39,60	93.0,3,40,60	87.0,3,40,60	79.0,3,40,60	70.0,3,40,60	66.0,3,40,60	57.0,3,40,60	56.0,3,40,60	48.0,3,40,60
201.0,3,38,59	222.0,3,38,59	231.0,3,38,59	283.0,3,38,59	334.0,3,37,58	390.0,3,37,58	489.0,3,36,57	505.0,4,35,57	544.0,4,35,57	575.0,4,35,57	642.0,4,34,56	679.0,4,34,56	768.0,4,33,55	796.0,4,33,55	851.0,4,32,55	990.0,4,31,54	1100.0,5,29,53	1195.0,5,29,53	1226.0,5,28,52	1111.0,5,29,53	1011.0,5,30,54	909.0,4,31,54	840.0,4,32,55	830.0,4,32,55	794.0,4,33,55	700.0,4,33,56	541.0,4,35,57	482.0,3,36,57	394.0,3,37,58	341.0,3,37,58	301.0,3,37,58	253.0,3,38,59	243.0,3,38,59	208.0,3,38,59	197.0,3,39,59	175.0,3,39,59	155.0,3,39,59	148.0,3,39,60	129.0,3,39,60	120.0,3,39,60	105.0,3,39,60	103.0,3,39,60	91.0,3,40,60	86.0,3,40,60	80.0,3,40,60	68.0,3,40,60	63.0,3,40,60	57.0,3,40,60	53.0,3,40,60	47.0,3,40,60
200.0,3,38,59	227.0,3,38,59	242.0,3,38,59	312.0,3,37,58	347.0,3,37,58	400.0,3,36,58	454.0,3,36,57	475.0,3,36,57	506.0,4,35,57	529.0,4,35,57	588.0,4,35,57	628.0,4,34,56	702.0,4,33,56	740.0,4,33,56	814.0,4,32,55	999.0,4,31,54	1102.0,5,29,53	1075.0,5,30,53	1196.0,5,29,53	1128.0,5,29,53	1027.0,5,30,54	893.0,4,32,55	830.0,4,32,55	811.0,4,32,55	787.0,4,33,55	727.0,4,33,56	583.0,4,35,57	526.0,4,35,57	406.0,3,36,58	321.0,3,37,58	289.0,3,38,59	273.0,3,38,59	256.0,3,38,59	213.0,3,38,59	192.0,3,39,59	164.0,3,39,59	147.0,3,39,60	138.0,3,39,60	122.0,3,39,60	115.0,3,39,60	103.0,3,39,60	99.0,3,40,60	88.0,3,40,60	82.0,3,40,60	75.0,3,40,60	66.0,3,40,60	63.0,3,40,60	55.0,3,40,60	51.0,3,40,60	46.0,3,40,60
207.0,3,38,59	246.0,3,38,59	261.0,3,38,59	307.0,3,37,58	336.0,3,37,58	384.0,3,37,58	432.0,3,36,58	451.0,3,36,57	498.0,3,36,57	517.0,4,35,57	568.0,4,35,57	600.0,4,34,56	672.0,4,34,56	701.0,4,33,56	789.0,4,33,55	930.0,4,31,54	1004.0,5,30,54	1109.0,5,29,53	1103.0,5,29,53	1043.0,5,30,54	956.0,4,31,54	853.0,4,32,55	805.0,4,32,55	811.0,4,32,55	747.0,4,33,56	717.0,4,33,56	570.0,4,35,57	475.0,3,36,57	368.0,3,37,58	303.0,3,37,58	291.0,3,38,59	251.0,3,38,59	250.0,3,38,59	208.0,3,38,59	185.0,3,39,59	156.0,3,39,59	140.0,3,39,60	133.0,3,39,60	120.0,3,39,60	111.0,3,39,60	100.0,3,39,60	96.0,3,40,60	88.0,3,40,60	82.0,3,40,60	72.0,3,40,60	65.0,3,40,60	61.0,3,40,60	53.0,3,40,60	47.0,3,40,60	45.0,3,40,60
203.0,3,38,59	238.0,3,38,59	257.0,3,38,59	297.0,3,38,59	322.0,3,37,58	372.0,3,37,58	420.0,3,36,58	441.0,3,36,58	485.0,3,36,57	506.0,4,35,57	559.0,4,35,57	594.0,4,35,57	648.0,4,34,56	661.0,4,34,56	731.0,4,33,56	835.0,4,32,55	886.0,4,32,55	961.0,4,31,54	960.0,4,31,54	922.0,4,31,54	889.0,4,32,55	836.0,4,32,55	771.0,4,33,55	765.0,4,33,55	711.0,4,33,56	597.0,4,35,57	527.0,4,35,57	482.0,3,36,57	345.0,3,37,58	287.0,3,38,59	262.0,3,38,59	228.0,3,38,59	226.0,3,38,59	214.0,3,38,59	194.0,3,39,59	156.0,3,39,59	138.0,3,39,60	128.0,3,39,60	118.0,3,39,60	107.0,3,39,60	97.0,3,40,60	92.0,3,40,60	83.0,3,40,60	80.0,3,40,60	70.0,3,40,60	62.0,3,40,60	58.0,3,40,60	54.0,3,40,60	50.0,3,40,60	43.0,3,40,60
191.0,3,39,59	218.0,3,38,59	253.0,3,38,59	285.0,3,38,59	302.0,3,37,58	338.0,3,37,58	388.0,3,37,58	428.0,3,36,58	488.0,3,36,57	504.0,4,35,57	547.0,4,35,57	574.0,4,35,57	630.0,4,34,56	636.0,4,34,56	689.0,4,34,56	766.0,4,33,55	794.0,4,33,55	846.0,4,32,55	864.0,4,32,55	840.0,4,32,55	842.0,4,32,55	804.0,4,32,55	753.0,4,33,55	710.0,4,33,56	642.0,4,34,56	627.0,4,34,56	437.0,3,36,58	397.0,3,37,58	326.0,3,37,58	273.0,3,38,59	256.0,3,38,59	224.0,3,38,59	211.0,3,38,59	184.0,3,39,59	173.0,3,39,59	156.0,3,39,59	136.0,3,39,60	128.0,3,39,60	114.0,3,39,60	107.0,3,39,60	95.0,3,40,60	91.0,3,40,60	81.0,3,40,60	76.0,3,40,60	70.0,3,40,60	61.0,3,40,60	56.0,3,40,60	49.0,3,40,60	48.0,3,40,60	43.0,3,40,60
